Month,Years Since Epoch (t),Region,Max NDVI,Mean NDVI,Min NDVI
10/21,51.788,Tsimanampetsotsa,0.783,0.195,-0.907
10/21,51.788,d'Ankarafantsika,0.904,0.447,-0.185
10/21,51.788,Masoala,0.958,0.586,-0.762
10/21,51.788,Alan'Ankirisa,0.823,0.283,-0.649
11/21,51.872,d'Andohahela,0.909,0.653,-0.054
11/21,51.872,Midongy Betofaka,0.9,0.645,-0.835
11/21,51.872,Tsimanampetsotsa,0.821,0.198,-0.972
11/21,51.872,d'Ankarafantsika,0.904,0.514,-0.179
11/21,51.872,Masoala,0.998,0.438,-0.997
11/21,51.872,Alan'Ankirisa,0.839,0.279,-0.549
