Month,Years Since Epoch (t),Max NDVI,Mean NDVI,Min NDVI,Region
09/21,51.705,0.938,0.68,-0.396,d'Andohahela
09/21,51.705,0.922,0.724,-0.924,Midongy Betofaka
09/21,51.705,0.926,0.209,-0.968,Tsimanampetsotsa
09/21,51.705,0.954,0.473,-0.357,d'Ankarafantsika
09/21,51.705,0.999,0.454,-0.997,Masoala
09/21,51.705,0.901,0.312,-0.734,Alan'Ankirisa
10/21,51.788,0.934,0.632,-0.252,d'Andohahela
10/21,51.788,0.914,0.701,-0.984,Midongy Betofaka
10/21,51.788,0.934,0.196,-0.999,Tsimanampetsotsa
10/21,51.788,0.954,0.448,-0.248,d'Ankarafantsika
10/21,51.788,0.995,0.587,-0.995,Masoala
10/21,51.788,0.869,0.283,-0.7,Alan'Ankirisa
